frame,rgba_diff_pixels,rgba_exact_ratio,alpha_diff_pixels,alpha_exact_ratio,r_mae,g_mae,b_mae,a_mae,r_max,g_max,b_max,a_max,black_mae,black_max,paper_mae,paper_max
0,318568,0.7268792866941015,112954,0.9031601508916324,0.3380847050754458,0.2940380658436214,0.39426440329218104,0.12278549382716049,12,7,11,10,0.3271570644718793,13,0.28705418381344305,12
1,439757,0.6229792524005486,151838,0.8698233882030179,1.3357878943758574,1.2330469821673526,1.4633539094650205,0.45564729080932787,67,70,66,82,1.2639211819844536,70,1.1397279378143577,70
2,741686,0.36412379972565156,120306,0.8968569958847736,1.4159850823045268,1.3199125514403292,1.9123259602194786,0.32532064471879285,73,69,82,93,1.0409522176497485,81,0.9524236968449932,83
3,738358,0.3669770233196159,119144,0.8978532235939644,1.4080701303155008,1.3120670438957476,1.904363854595336,0.3215354938271605,73,69,82,76,1.0394115797896661,81,0.9520584705075446,83
4,559725,0.5201260288065843,110756,0.9050445816186556,1.0734705075445816,0.9688383058984911,1.2944873113854596,0.26546467764060355,61,59,64,62,0.8110942501143118,57,0.7318729995427526,52
5,627592,0.4619410150891632,95765,0.9178969478737997,1.3002289094650206,1.1995447530864198,1.6136865569272976,0.29992541152263374,77,82,83,87,0.996775548696845,91,0.9121867855509831,83
6,546824,0.5311865569272977,89069,0.9236376886145404,1.0040689300411523,0.9163383058984911,1.2887397119341564,0.25061471193415635,72,74,73,75,0.77704561042524,73,0.7029003772290809,74
7,546181,0.5317378257887517,88127,0.9244453017832648,1.000636145404664,0.9131747256515775,1.2875685871056242,0.24808899176954732,72,66,62,75,0.7754140946502057,68,0.7023522519433013,68
8,206533,0.8229312414266118,33530,0.9712534293552813,0.22518604252400548,0.19305041152263375,0.254710219478738,0.03566358024691358,10,7,12,7,0.17500771604938273,12,0.16154921124828533,12
9,473484,0.5940637860082305,73058,0.9373645404663923,0.9719710219478738,0.8713554526748971,1.1293158436213993,0.22621827846364884,68,73,71,79,0.7322919524462734,72,0.6676057384545039,68
